 -0.885000000000000     
  8.350154-151  8.366365-151  8.277299-151  8.099963-151  8.157367-151  7.991757-151  7.989336-151  7.833471-151
  7.841551-151  7.800259-151  7.636478-151  7.554672-151  7.516628-151  7.457525-151  7.408118-151  7.221896-151
  7.205606-151  7.149341-151  7.051113-151  6.976724-151  6.884055-151  6.845676-151  6.741183-151  6.616291-151
  6.540642-151  6.501338-151  6.449814-151  6.278512-151  6.266259-151  6.199029-151  6.074358-151  5.991628-151
  5.936262-151  5.905470-151  5.747042-151  5.699366-151  5.583691-151  5.572226-151  5.399808-151  5.379632-151
  5.286081-151  5.193035-151  5.175918-151  5.039542-151  4.976338-151  4.894922-151  4.844776-151  4.720058-151
  4.671144-151  4.592612-151  4.531980-151  4.431139-151  4.366488-151  4.302612-151  4.202643-151  4.158429-151
  4.075958-151  4.019925-151  3.929139-151  3.854992-151  3.794925-151  3.707263-151  3.617663-151  3.590361-151
  3.507935-151  3.435850-151  3.382985-151  3.300679-151  3.266171-151  3.175695-151  3.122595-151  3.045158-151
  2.985091-151  2.933261-151  2.874169-151  2.802375-151  2.741668-151  2.705528-151  2.617875-151  2.579342-151
  2.519447-151  2.475830-151  2.413500-151  2.349931-151  2.302659-151  2.256717-151  2.208230-151  2.141522-151
  2.100733-151  2.068005-151  2.002683-151  1.962188-151  1.916289-151  1.878775-151  1.822844-151  1.782874-151
  1.734968-151  1.710265-151  1.664403-151  1.615848-151  1.587287-151  1.546364-151  1.510929-151  1.467094-151
  1.448147-151  1.406681-151  1.381472-151  1.331740-151  1.312681-151  1.275349-151  1.247035-151  1.221835-151
  1.193963-151  1.169165-151  1.140922-151  1.113497-151  1.091477-151  1.068288-151  1.044032-151  1.018268-151
  1.004356-151  9.828298-152  9.611051-152  9.403103-152  9.262834-152  9.066052-152  8.893533-152  8.705017-152
 -0.815000000000000     
  1.648114-145  6.759659-150  1.604344-149  3.290472-149  6.411749-149  1.017283-148  1.353895-148  1.742935-148
  2.292611-148  3.485641-148  3.584136-148  4.205144-148  5.193778-148  6.191687-148  7.231642-148  7.359307-148
  9.514702-148  1.051897-147  1.156902-147  1.185673-147  1.367565-147  1.573377-147  1.579553-147  1.760093-147
  1.850234-147  2.091816-147  2.252168-147  2.332853-147  2.494679-147  2.665721-147  2.730661-147  2.950281-147
  3.036381-147  3.297354-147  3.435450-147  3.532752-147  3.813296-147  3.887066-147  4.079117-147  4.124996-147
  4.425960-147  4.581239-147  4.621483-147  4.859692-147  4.964684-147  5.208692-147  5.226528-147  5.416577-147
  5.611946-147  5.781081-147  5.901707-147  6.005607-147  6.201340-147  6.330346-147  6.426551-147  6.553324-147
  6.697315-147  6.865400-147  6.854378-147  7.016953-147  7.248212-147  7.266186-147  7.425815-147  7.367594-147
  7.594852-147  7.858851-147  7.727363-147  7.934235-147  7.865704-147  8.163806-147  8.062456-147  8.097561-147
  8.266375-147  8.233700-147  8.504083-147  8.333523-147  8.502838-147  8.608335-147  8.505400-147  8.642802-147
  8.625254-147  8.784113-147  8.722646-147  8.760255-147  8.757820-147  8.871160-147  8.876070-147  8.770355-147
  8.837271-147  8.895565-147  8.930420-147  8.847121-147  8.935106-147  8.868048-147  8.865252-147  8.835385-147
  8.840559-147  8.864400-147  8.948741-147  8.765509-147  8.825266-147  8.793766-147  8.755619-147  8.791005-147
  8.545372-147  8.822915-147  8.616897-147  8.584902-147  8.573663-147  8.587667-147  8.470929-147  8.372509-147
  8.419124-147  8.359532-147  8.348535-147  8.253523-147  8.292058-147  8.227545-147  8.082783-147  8.008874-147
  8.063361-147  7.989940-147  7.885154-147  7.833529-147  7.751760-147  7.793462-147  7.621189-147  7.600389-147
  7.515449-147  7.527328-147  7.444215-147  7.282618-147  7.330617-147  7.182131-147  7.176046-147  7.030092-147
  7.034983-147  6.995531-147  6.845117-147  6.768182-147  6.730451-147  6.678026-147  6.627542-147  6.458852-147
