#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  385   1.0369  9.22E-05 3.995E-05 1.470E-03 1.793E-11 6.820E-08 8.939E-03 8.164E+00 5.422E-02 3.825E-02 1.504E-01 1.687E+00 1.08E-10 -5.01E-05  5.38E-02  6.23E-02  6.77E-03
  390   1.0374  9.21E-05 4.177E-05 1.493E-03 1.822E-11 6.959E-08 9.140E-03 8.347E+00 5.464E-02 3.919E-02 1.470E-01 1.742E+00 1.09E-10 -8.07E-05  5.61E-02  6.50E-02  7.38E-03
  395   1.0378  9.20E-05 4.364E-05 1.514E-03 1.856E-11 7.097E-08 9.343E-03 8.531E+00 5.503E-02 4.036E-02 1.496E-01 1.803E+00 1.11E-10 -1.14E-04  5.86E-02  6.79E-02  8.03E-03
  400   1.0383  9.18E-05 4.556E-05 1.527E-03 1.893E-11 7.232E-08 9.546E-03 8.716E+00 5.526E-02 4.143E-02 1.514E-01 1.864E+00 1.14E-10 -1.46E-04  6.10E-02  7.08E-02  8.73E-03
  405   1.0387  9.18E-05 4.752E-05 1.528E-03 1.929E-11 7.364E-08 9.749E-03 8.901E+00 5.528E-02 4.245E-02 1.460E-01 1.923E+00 1.16E-10 -1.79E-04  6.36E-02  7.37E-02  9.48E-03
  410   1.0392  9.17E-05 4.953E-05 1.563E-03 1.967E-11 7.493E-08 9.953E-03 9.087E+00 5.592E-02 4.311E-02 1.497E-01 1.970E+00 1.18E-10 -2.09E-04  6.62E-02  7.67E-02  1.03E-02
  415   1.0397  9.17E-05 5.159E-05 1.587E-03 2.015E-11 7.618E-08 1.016E-02 9.275E+00 5.633E-02 4.357E-02 1.579E-01 1.998E+00 1.21E-10 -2.41E-04  6.89E-02  7.98E-02  1.11E-02
  420   1.0401  9.16E-05 5.371E-05 1.600E-03 2.073E-11 7.739E-08 1.037E-02 9.466E+00 5.657E-02 4.392E-02 1.554E-01 2.017E+00 1.24E-10 -2.65E-04  7.16E-02  8.30E-02  1.20E-02
  425   1.0406  9.17E-05 5.589E-05 1.620E-03 2.129E-11 7.858E-08 1.057E-02 9.657E+00 5.692E-02 4.419E-02 1.603E-01 2.037E+00 1.28E-10 -2.89E-04  7.44E-02  8.63E-02  1.30E-02
  430   1.0410  9.17E-05 5.813E-05 1.638E-03 2.177E-11 7.973E-08 1.078E-02 9.850E+00 5.724E-02 4.464E-02 1.614E-01 2.067E+00 1.31E-10 -3.21E-04  7.73E-02  8.96E-02  1.40E-02
