 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
  1.258682E-75  1.427095E-75  1.603137E-75  1.737185E-75  1.944552E-75  1.839437E-75  2.050823E-75  2.314279E-75
  2.628794E-75  2.899518E-75  2.684064E-75  3.233757E-75  3.453839E-75  3.288008E-75  3.614253E-75  3.842526E-75
  3.631044E-75  4.661407E-75  4.370973E-75  4.461397E-75  4.439636E-75  4.709968E-75  5.014319E-75  4.866299E-75
  5.356790E-75  5.660672E-75  5.843034E-75  6.160015E-75  6.146377E-75  6.545044E-75  6.813641E-75  6.510942E-75
  6.664089E-75  7.167351E-75  6.930707E-75  6.988373E-75  7.839450E-75  7.381582E-75  7.664128E-75  7.960500E-75
  8.677280E-75  8.363604E-75  8.893742E-75  8.888985E-75  9.165880E-75  9.595801E-75  8.922809E-75  9.400415E-75
  1.051925E-74  1.000464E-74  1.071966E-74  1.104866E-74  1.091680E-74  1.164016E-74  1.095664E-74  1.240326E-74
  1.277641E-74  1.345387E-74  1.440038E-74  1.354949E-74  1.470242E-74  1.449594E-74  1.564510E-74  1.484876E-74
  1.580403E-74  1.637393E-74  1.796178E-74  1.709712E-74  1.836541E-74  1.963851E-74  1.857179E-74  2.065618E-74
  2.124409E-74  2.220606E-74  2.271007E-74  2.436867E-74  2.395076E-74  2.535861E-74  2.548270E-74  2.751811E-74
  2.763577E-74  2.944623E-74  2.975671E-74  3.008518E-74  3.071567E-74  3.295533E-74  3.382328E-74  3.363496E-74
  3.583954E-74  3.668474E-74  3.711029E-74  3.851782E-74  3.926257E-74  4.120847E-74  4.157472E-74  4.289389E-74
  4.403633E-74  4.479795E-74  4.629734E-74  4.612675E-74  4.840857E-74  4.970785E-74  4.968726E-74  5.088688E-74
 -0.775000000000000     
  0.000000E+00  2.316204E-76 -4.288086E-77 -2.032980E-76 -1.716680E-76  6.498662E-76  1.415703E-75  1.572409E-75
  2.134898E-75  6.164763E-75  7.361937E-75  6.532009E-75  7.740261E-75  9.855375E-75  1.644382E-74  1.694627E-74
  2.060790E-74  2.709528E-74  2.858955E-74  3.718458E-74  3.974573E-74  4.529571E-74  4.613234E-74  5.706978E-74
  6.057333E-74  6.971357E-74  7.856713E-74  8.486886E-74  9.556309E-74  9.436196E-74  1.027213E-73  1.168437E-73
  1.298002E-73  1.447617E-73  1.396808E-73  1.604645E-73  1.748326E-73  1.711932E-73  1.872845E-73  1.982811E-73
  1.963879E-73  2.366003E-73  2.312353E-73  2.358774E-73  2.395728E-73  2.559904E-73  2.684540E-73  2.666257E-73
  2.924015E-73  3.046125E-73  3.172615E-73  3.287473E-73  3.349211E-73  3.524295E-73  3.644699E-73  3.559603E-73
  3.697034E-73  3.936512E-73  3.838548E-73  3.896655E-73  4.272407E-73  4.115480E-73  4.261242E-73  4.349829E-73
  4.680423E-73  4.606783E-73  4.769380E-73  4.775529E-73  4.942191E-73  5.096837E-73  4.880076E-73  5.010929E-73
  5.510342E-73  5.268897E-73  5.607914E-73  5.668762E-73  5.675732E-73  5.964928E-73  5.708478E-73  6.207706E-73
  6.347143E-73  6.615821E-73  6.935977E-73  6.645397E-73  7.048582E-73  6.978704E-73  7.357551E-73  7.062687E-73
  7.427584E-73  7.595247E-73  8.157511E-73  7.881413E-73  8.319845E-73  8.764660E-73  8.365836E-73  9.085258E-73
  9.307458E-73  9.664403E-73  9.850526E-73  1.037209E-72  1.023727E-72  1.074836E-72  1.078266E-72  1.153658E-72
  1.150710E-72  1.218198E-72  1.229365E-72  1.242240E-72  1.262422E-72  1.345595E-72  1.372768E-72  1.365382E-72
  1.444919E-72  1.473039E-72  1.492878E-72  1.540387E-72  1.570401E-72  1.637063E-72  1.650214E-72  1.696814E-72
  1.742867E-72  1.766187E-72  1.825236E-72  1.818045E-72  1.895831E-72  1.944122E-72  1.945400E-72  1.992179E-72
 -0.765000000000000     
  0.000000E+00  7.508073E-75 -1.975839E-75 -5.631483E-75 -4.093590E-75  2.090247E-74  3.468892E-74  7.566536E-74
  8.168620E-74  2.109610E-73  2.554317E-73  2.443832E-73  2.885800E-73  3.700171E-73  6.057252E-73  6.113911E-73
  7.802483E-73  9.889345E-73  1.075172E-72  1.329551E-72  1.474497E-72  1.694261E-72  1.751437E-72  2.131583E-72
  2.269624E-72  2.627024E-72  2.972275E-72  3.211029E-72  3.622627E-72  3.680230E-72  3.949490E-72  4.509217E-72
  4.955543E-72  5.560243E-72  5.501717E-72  6.150319E-72  6.787210E-72  6.750770E-72  7.375493E-72  7.786442E-72
  7.932087E-72  9.214015E-72  9.225501E-72  9.424110E-72  9.672867E-72  1.038980E-71  1.081138E-71  1.088191E-71
  1.191490E-71  1.233592E-71  1.290132E-71  1.325577E-71  1.367440E-71  1.429479E-71  1.475525E-71  1.460680E-71
  1.525538E-71  1.617161E-71  1.584890E-71  1.615984E-71  1.751986E-71  1.709140E-71  1.767091E-71  1.790526E-71
