,a,t,eta,ap/a,app/a
4206,1.7952519723707378e-11,0.00853431259296914,974904836.9124331,1.0597579088193755e-09,4.1867476327319906e-26
4207,1.8043701445369045e-11,0.008620569229249848,979697375.1243613,1.0544068093966035e-09,4.165590382599367e-26
4208,1.8135346283434044e-11,0.00870770393116731,984514234.5379485,1.0490827512458983e-09,4.14454005072539e-26
4209,1.8227456590093132e-11,0.008795725664225753,989355539.4486988,1.043785597717995e-09,4.123596108858549e-26
4210,1.8320034729483963e-11,0.008884643777008025,994221442.6699241,1.038515212854172e-09,4.102757980484861e-26
4211,1.841308307775168e-11,0.008974466348842518,999111980.1245687,1.0332712377284901e-09,4.0820251609009686e-26
4212,1.8506604023110205e-11,0.009065203629576664,1004027366.7117198,1.0280537567748796e-09,4.0613971210301465e-26
4213,1.86005999659031e-11,0.00915686463773474,1008967700.1202233,1.0228626418582696e-09,4.040873330090781e-26
4214,1.869507331866546e-11,0.00924945873549553,1013933105.479242,1.0176977597415655e-09,4.020453242364524e-26
4215,1.879002650618568e-11,0.009342995446726498,1018923711.609693,1.012558977860977e-09,4.000136347155202e-26
4216,1.8885461965568012e-11,0.009437484358217684,1023939646.3357565,1.0074460541450184e-09,3.9799221304830825e-26
4217,1.8981382146294645e-11,0.009532935146031133,1028981035.958953,1.002358861180977e-09,3.959810040239463e-26
4218,1.907778951028888e-11,0.009629357653211181,1034048015.7278998,9.972973758498607e-10,3.9397996053950404e-26
4219,1.9174686531978257e-11,0.009726761721464219,1039140709.5015005,9.922614682416946e-10,3.9198902921906687e-26
4220,1.9272075698357967e-11,0.009825157364635935,1044259251.1262581,9.872510091029963e-10,3.9000815731873545e-26
4221,1.9369959509055007e-11,0.009924554708470475,1049403772.548943,9.822658617733424e-10,3.8803729651552393e-26
4222,1.946834047639187e-11,0.010024963914260172,1054574400.8193065,9.773057090244039e-10,3.860763944063042e-26
4223,1.956722112545133e-11,0.010126395228452528,1059771266.7277409,9.723706219172976e-10,3.841254018418083e-26
4224,1.9666603994141102e-11,0.010228859213893975,1064994515.4203454,9.674604737862366e-10,3.8218426928349447e-26
4225,1.97664916332593e-11,0.010332366277193085,1070244271.0370039,9.625751386055156e-10,3.8025294512419674e-26
4226,1.9866886606559424e-11,0.010436926997000868,1075520668.2571058,9.577144909863e-10,3.7833138191196e-26
