 -0.885000000000000     
  0.000000E+00 -8.516877-101 -4.327017-101  2.746542-100  7.563043-100  5.615203-100  1.585824E-99  1.706970E-99
  5.419628E-83  5.499160E-83  5.612193E-83  5.638600E-83  5.858126E-83  5.952797E-83  5.921926E-83  6.046260E-83
  6.188655E-83  6.292402E-83  6.346737E-83  6.459704E-83  6.531909E-83  6.695385E-83  6.713805E-83  6.808083E-83
  6.890267E-83  7.041783E-83  7.159884E-83  7.148397E-83  7.342130E-83  7.341096E-83  7.488777E-83  7.505437E-83
  7.676982E-83  7.809566E-83  7.812062E-83  7.860957E-83  7.980148E-83  8.140355E-83  8.292114E-83  8.163901E-83
  8.354666E-83  8.493336E-83  8.528092E-83  8.585561E-83  8.675505E-83  8.792446E-83  8.812595E-83  8.868003E-83
  8.986368E-83  9.098913E-83  9.172486E-83  9.142350E-83  9.314742E-83  9.364040E-83  9.396622E-83  9.439434E-83
  9.566560E-83  9.708680E-83  9.609715E-83  9.765111E-83  9.723525E-83  9.906317E-83  9.778900E-83  9.948464E-83
  9.956394E-83  9.994791E-83  1.013289E-82  1.005870E-82  1.010033E-82  1.014262E-82  1.023643E-82  1.018423E-82
  1.025728E-82  1.027995E-82  1.033203E-82  1.028171E-82  1.031058E-82  1.037335E-82  1.031399E-82  1.039181E-82
  1.036098E-82  1.043080E-82  1.038509E-82  1.033337E-82  1.040553E-82  1.031302E-82  1.022190E-82  1.027847E-82
  1.024386E-82  1.021898E-82  1.022625E-82  1.015858E-82  1.017277E-82  1.011746E-82  1.009031E-82  9.979068E-83
  9.948302E-83  9.918765E-83  9.852438E-83  9.781066E-83  9.716628E-83  9.707826E-83  9.506803E-83  9.507300E-83
  9.458013E-83  9.393636E-83  9.303752E-83  9.157613E-83  9.068364E-83  8.997403E-83  8.916608E-83  8.745849E-83
  8.696084E-83  8.573452E-83  8.437966E-83  8.341509E-83  8.205368E-83  8.168039E-83  7.965547E-83  7.865735E-83
  7.728104E-83  7.662612E-83  7.505179E-83  7.319886E-83  7.232920E-83  7.089128E-83  6.950381E-83  6.763327E-83
  6.686752E-83  6.525511E-83  6.391800E-83  6.182694E-83  6.077091E-83  5.897321E-83  5.746152E-83  5.627459E-83
  5.450659E-83  5.308837E-83  5.165686E-83  4.985150E-83  4.851462E-83  4.703533E-83  4.542614E-83  4.379944E-83
  4.237426E-83  4.061165E-83  3.911086E-83  3.757284E-83  3.622870E-83  3.471843E-83  3.312113E-83  3.140982E-83
 -0.825000000000000     
  0.000000E+00 -2.189736E-85 -3.125550E-85  6.092846E-85  1.572307E-84  1.210253E-84  3.539533E-84  3.723291E-84
  3.133766E-84  4.203688E-84  7.435529E-84  1.338401E-83  1.328650E-83  2.110685E-83  2.773001E-83  2.761156E-83
  4.327840E-83  5.062522E-83  5.986500E-83  7.050264E-83  7.913204E-83  9.077075E-83  1.083776E-82  1.232839E-82
  1.272602E-82  1.477957E-82  1.749179E-82  1.876055E-82  2.160927E-82  2.281642E-82  2.565268E-82  2.721209E-82
  3.028783E-82  3.324565E-82  3.676799E-82  3.833479E-82  4.267253E-82  4.538464E-82  4.960257E-82  5.216483E-82
  5.732450E-82  6.053472E-82  6.369515E-82  6.693776E-82  7.162752E-82  7.946700E-82  8.062878E-82  8.874746E-82
  9.404641E-82  9.982550E-82  1.040326E-81  1.091338E-81  1.149039E-81  1.225922E-81  1.270559E-81  1.323831E-81
  1.398572E-81  1.472851E-81  1.510246E-81  1.601350E-81  1.683518E-81  1.748801E-81  1.837423E-81  1.857578E-81
  1.942410E-81  2.099102E-81  2.115774E-81  2.210197E-81  2.271280E-81  2.412660E-81  2.450535E-81  2.506557E-81
  2.631867E-81  2.680633E-81  2.844010E-81  2.878232E-81  2.986884E-81  3.106880E-81  3.126261E-81  3.263575E-81
  3.353898E-81  3.497665E-81  3.547244E-81  3.656073E-81  3.723119E-81  3.861116E-81  3.991005E-81  4.004999E-81
  4.170319E-81  4.290610E-81  4.370219E-81  4.440242E-81  4.590880E-81  4.682160E-81  4.768005E-81  4.852748E-81
  4.977167E-81  5.117043E-81  5.258265E-81  5.289174E-81  5.417356E-81  5.593791E-81  5.657546E-81  5.771778E-81
  5.741159E-81  6.067533E-81  6.042898E-81  6.198885E-81  6.333991E-81  6.454081E-81  6.515360E-81  6.564704E-81
  6.752572E-81  6.847934E-81  6.984204E-81  7.008893E-81  7.279433E-81  7.389590E-81  7.344283E-81  7.492765E-81
  7.666900E-81  7.789656E-81  7.849690E-81  7.984716E-81  8.064870E-81  8.264612E-81  8.278170E-81  8.390570E-81
