 -0.885000000000000     
  4.895117E-85  4.975582E-85  4.999832E-85  5.033084E-85  5.088736E-85  5.158096E-85  5.172024E-85  5.208643E-85
  5.277597E-85  5.346341E-85  5.390251E-85  5.375965E-85  5.480687E-85  5.508922E-85  5.532008E-85  5.559527E-85
  5.636204E-85  5.721929E-85  5.665577E-85  5.760657E-85  5.737918E-85  5.850219E-85  5.777928E-85  5.879205E-85
  5.884491E-85  5.912272E-85  5.997080E-85  5.956266E-85  5.983410E-85  6.013225E-85  6.071510E-85  6.044728E-85
  6.091955E-85  6.108486E-85  6.145857E-85  6.117524E-85  6.140411E-85  6.182203E-85  6.150790E-85  6.201962E-85
  6.187095E-85  6.234472E-85  6.212970E-85  6.186509E-85  6.236809E-85  6.185772E-85  6.135981E-85  6.176343E-85
  6.162308E-85  6.152532E-85  6.161313E-85  6.129056E-85  6.143917E-85  6.117865E-85  6.108337E-85  6.048700E-85
  6.036381E-85  6.026069E-85  5.993888E-85  5.957478E-85  5.926422E-85  5.929729E-85  5.816895E-85  5.824481E-85
  5.804814E-85  5.773036E-85  5.728784E-85  5.647866E-85  5.604184E-85  5.571370E-85  5.531305E-85  5.439123E-85
  5.418613E-85  5.354620E-85  5.282463E-85  5.235809E-85  5.164539E-85  5.154473E-85  5.040239E-85  4.993739E-85
  4.923063E-85  4.898091E-85  4.814526E-85  4.713857E-85  4.676260E-85  4.602176E-85  4.532336E-85  4.433039E-85
  4.402203E-85  4.319058E-85  4.255077E-85  4.139393E-85  4.094827E-85  3.998318E-85  3.923434E-85  3.867826E-85
  3.776451E-85  3.711680E-85  3.641689E-85  3.547263E-85  3.483763E-85  3.414497E-85  3.334155E-85  3.246958E-85
  3.182266E-85  3.093345E-85  3.017271E-85  2.946537E-85  2.885789E-85  2.813283E-85  2.730680E-85  2.640073E-85
 -0.835000000000000     
  0.000000E+00  7.240276E-87  1.747267E-86  3.610480E-86  8.063024E-86  1.210382E-85  1.547279E-85  1.929317E-85
  2.626760E-85  2.308925E-85  3.660753E-85  4.976792E-85  6.021657E-85  7.512018E-85  8.790684E-85  8.998117E-85
  1.189321E-84  1.301092E-84  1.416185E-84  1.536054E-84  1.732170E-84  1.982768E-84  2.070543E-84  2.328182E-84
  2.413913E-84  2.748353E-84  3.043575E-84  3.162974E-84  3.484358E-84  3.690980E-84  3.921110E-84  4.226263E-84
  4.432671E-84  4.786081E-84  5.169202E-84  5.296547E-84  5.777435E-84  6.026184E-84  6.408534E-84  6.593510E-84
  7.151612E-84  7.450821E-84  7.696683E-84  8.078329E-84  8.380202E-84  9.141370E-84  9.173730E-84  9.848393E-84
  1.033865E-83  1.083856E-83  1.119180E-83  1.157235E-83  1.205878E-83  1.264981E-83  1.304643E-83  1.348362E-83
  1.405280E-83  1.473395E-83  1.490105E-83  1.566084E-83  1.636288E-83  1.679066E-83  1.754215E-83  1.762646E-83
  1.837890E-83  1.963446E-83  1.961140E-83  2.045395E-83  2.078581E-83  2.202147E-83  2.220381E-83  2.266237E-83
  2.365601E-83  2.396611E-83  2.531497E-83  2.546232E-83  2.637057E-83  2.727145E-83  2.740096E-83  2.845530E-83
  2.910976E-83  3.027403E-83  3.062725E-83  3.145402E-83  3.195472E-83  3.305872E-83  3.401645E-83  3.410556E-83
  3.541937E-83  3.634094E-83  3.696150E-83  3.747812E-83  3.865262E-83  3.933658E-83  4.002274E-83  4.068248E-83
  4.165992E-83  4.278276E-83  4.389664E-83  4.405305E-83  4.506868E-83  4.647487E-83  4.698203E-83  4.790062E-83
  4.759975E-83  5.023750E-83  5.002872E-83  5.128950E-83  5.234262E-83  5.332583E-83  5.379656E-83  5.416415E-83
  5.569637E-83  5.646384E-83  5.754745E-83  5.775984E-83  5.993433E-83  6.084017E-83  6.047642E-83  6.168954E-83
  6.308546E-83  6.408604E-83  6.458914E-83  6.568484E-83  6.637285E-83  6.798717E-83  6.812359E-83  6.903501E-83
  6.982423E-83  7.132496E-83  7.246833E-83  7.231804E-83  7.423911E-83  7.419012E-83  7.564331E-83  7.577520E-83
  7.747248E-83  7.877996E-83  7.877281E-83  7.923759E-83  8.041165E-83  8.198856E-83  8.348828E-83  8.217813E-83
  8.406928E-83  8.543657E-83  8.576439E-83  8.632032E-83  8.720279E-83  8.835564E-83  8.853840E-83  8.907285E-83
  9.024141E-83  9.135276E-83  9.207580E-83  9.175459E-83  9.346710E-83  9.394863E-83  9.425935E-83  9.467542E-83
  9.593561E-83  9.734839E-83  9.634310E-83  9.788825E-83  9.746002E-83  9.927872E-83  9.799253E-83  9.968186E-83
  9.975153E-83  1.001264E-82  1.015009E-82  1.007485E-82  1.011581E-82  1.015741E-82  1.025046E-82  1.019756E-82
  1.026998E-82  1.029204E-82  1.034360E-82  1.029265E-82  1.032096E-82  1.038323E-82  1.032333E-82  1.040071E-82
  1.036939E-82  1.043887E-82  1.039270E-82  1.034062E-82  1.041243E-82  1.031958E-82  1.022815E-82  1.028445E-82
  1.024956E-82  1.022445E-82  1.023156E-82  1.016367E-82  1.017779E-82  1.012238E-82  1.009515E-82  9.983922E-83
  9.953210E-83  9.923827E-83  9.857721E-83  9.786531E-83  9.722576E-83  9.714247E-83  9.513924E-83  9.515264E-83
  9.466922E-83  9.403500E-83  9.315053E-83  9.170400E-83  9.083208E-83  9.014544E-83  8.935770E-83  8.767747E-83
  8.721628E-83  8.602770E-83  8.471369E-83  8.378919E-83  8.249009E-83  8.216512E-83  8.020018E-83  7.927457E-83
  7.796543E-83  7.739782E-83  7.591355E-83  7.413316E-83  7.338153E-83  7.204214E-83  7.076968E-83  6.903642E-83
  6.838094E-83  6.691666E-83  6.573634E-83  6.377827E-83  6.291145E-83  6.125855E-83  5.993321E-83  5.891704E-83
  5.735245E-83  5.619003E-83  5.496789E-83  5.336138E-83  5.223855E-83  5.103516E-83  4.967275E-83  4.821901E-83
  4.710008E-83  4.562402E-83  4.435365E-83  4.315196E-83  4.212705E-83  4.092311E-83  3.958844E-83  3.813639E-83
 -0.825000000000000     
  0.000000E+00  9.635970E-85  2.242183E-84  4.711226E-84  1.030038E-83  1.566868E-83  1.995626E-83  2.481599E-83
  3.088232E-83  3.300380E-83  5.219603E-83  6.448652E-83  7.783743E-83  9.730318E-83  1.139470E-82  1.160848E-82
  1.540928E-82  1.685319E-82  1.840273E-82  1.996789E-82  2.245832E-82  2.568677E-82  2.684157E-82  3.020410E-82
  3.127470E-82  3.562611E-82  3.942730E-82  4.103307E-82  4.517929E-82  4.772969E-82  5.082501E-82  5.476172E-82
  5.746340E-82  6.199824E-82  6.689262E-82  6.865672E-82  7.490028E-82  7.815832E-82  8.311833E-82  8.541691E-82
  9.239387E-82  9.640104E-82  9.954663E-82  1.045934E-81  1.084667E-81  1.182492E-81  1.185557E-81  1.273317E-81
  1.336664E-81  1.400064E-81  1.445462E-81  1.495033E-81  1.557622E-81  1.632706E-81  1.683510E-81  1.738122E-81
  1.811735E-81  1.897485E-81  1.919451E-81  2.017618E-81  2.106011E-81  2.161117E-81  2.255828E-81  2.266345E-81
  2.360453E-81  2.520524E-81  2.517680E-81  2.621686E-81  2.663726E-81  2.821630E-81  2.843939E-81  2.899947E-81
  3.023669E-81  3.063667E-81  3.234662E-81  3.252740E-81  3.363484E-81  3.478471E-81  3.487735E-81  3.624202E-81
  3.706202E-81  3.850374E-81  3.890994E-81  3.993866E-81  4.057992E-81  4.193045E-81  4.314283E-81  4.320930E-81
  4.480562E-81  4.597030E-81  4.672052E-81  4.732130E-81  4.878144E-81  4.963184E-81  5.043851E-81  5.122234E-81
  5.243391E-81  5.379268E-81  5.514152E-81  5.533914E-81  5.659355E-81  5.828515E-81  5.888189E-81  5.997675E-81
  5.956456E-81  6.283520E-81  6.250778E-81  6.401391E-81  6.529271E-81  6.648090E-81  6.702344E-81  6.743810E-81
  6.928501E-81  7.020390E-81  7.150902E-81  7.169330E-81  7.437181E-81  7.542206E-81  7.490365E-81  7.635067E-81
  7.805788E-81  7.924065E-81  7.979224E-81  8.110156E-81  8.186173E-81  8.383347E-81  8.391193E-81  8.499887E-81
  8.591474E-81  8.771982E-81  8.903308E-81  8.883152E-81  9.111375E-81  9.103983E-81  9.276555E-81  9.279130E-81
  9.483816E-81  9.639537E-81  9.636247E-81  9.685089E-81  9.821906E-81  1.000739E-80  1.018508E-80  1.001930E-80
  1.024093E-80  1.040499E-80  1.043185E-80  1.049688E-80  1.059611E-80  1.072933E-80  1.074416E-80  1.079417E-80
  1.093517E-80  1.105760E-80  1.114136E-80  1.109122E-80  1.128663E-80  1.134319E-80  1.136756E-80  1.140890E-80
  1.155358E-80  1.171508E-80  1.158561E-80  1.175947E-80  1.170085E-80  1.190448E-80  1.173886E-80  1.193558E-80
